PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,M,,L: HUSK GL MECHANICS,,,
6,1,PF-FMM,CC,RC,,,,,,,SES BEDST I EZ,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,P,OFH-GR,GRØN 7 (TE TÆTTEST PÅ CAM),,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,KOB,CC,LC,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,P,OFH-GR,GRØN 7. HVAD SIGER VI OM TIMINGEN PÅ DENNE?,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,DOG,CC,BC,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,PF-RTP,CC,RC,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,DOF-WC,CC,UCHCLC,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,M,,PAS PÅ DIG SELV L. BEVÆG DIG NED I OFF. BACKFIELD,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,DOF,CC,HCLC,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,
79,2,FST,IC,LI,,,,,,,NR 8,,,
80,2,,,,,,,,,,,,,
81,2,,,,,,,,M,,L HUSK VI ER I GL MECHS,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,,,,,,
84,2,,,,,,,,,,,,,
85,2,,,,,,,,,,,,,
86,2,,,,,,,,,,,,,
87,2,,,,,,,,,,,,,
88,2,,,,,,,,,,,,,
89,2,OFH-GR,NG,UG,,,,,,,RØD 61,,,
90,2,,,,,,,,,,,,,
91,2,,,,,,,,,,,,,
92,2,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,RWD,P,OFH,LG A54 PÅ PULL,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,RWD,P,PF-BBW,L: HUSK REVERSE MECHS. BBW: GRØN 3 PÅ 40Y LINE,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,RWD,M,,MISSED VI ET TIMEOUT CALL FRA RØD3?,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,RWD,P,OH-TD,RG A56 SE EZ,,,
109,3,,,,,,,,,,,,,
110,3,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,
112,3,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,
