PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,OFH-GR,CC,UCBN,,,,RWD,P,,SORT3 SLOTBACK (SE EZ),,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,PF-LTO,NG,HG,,,,RWD,P,,B40 MOD A8 FJERNESTE SL,,,
6,1,,,,,,,,,,,,,
7,1,FST,CC,UCHN,,,,RW,P,,RT A65 & RG68,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,ILF,CC,UC,OFK,CC,BC,RWD,P,,"ILF (ONLY 3 PLAYERS ON ONE SIDE OF KICKER) DECLINED, OFK ACCEPTED",,,
11,1,KOB,CC,HC,,,,W,P,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,UC-UNS,CC,LC,UC-UNS,CC,LC,RWD,P,,HVID77 OG SORT17 CHICKEN FIGHTING NÆRMEST SL KAMERA,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,OFH-TD,MC,LM,,,,RWD,P,,SORT3 PÅ 50Y LIGE FORAN RUNNER,,,
19,1,PF-BSB,WAIVED,UW,,,,RWD,P,,SORT88 PÅ 45Y LINE -FLAG WAIVED EFTER DISCUSSION,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,OFH-GR,CC,UCRN,,,,RWD,P,,RT SORT65,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,ILF,NG,HGLG,,,,W,P,,5 PLAYERS IN BACKFIELD,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,2,DPI-NPB,CC,HCSCBC,,,,RWD,P,,B40 MOD RECEIVER,,,
35,2,FST,IC,UILI,,,,RW,P,,RG A68,,,
36,2,,,,,,,,M,,HVORFOR FORLADER S SIN POSITION FOR AT GIVE SIGNAL,,,
37,2,,,,,,,,,,,,,
38,2,,,,,,,,,,,,,
39,2,,,,,,,,,,,,,
40,2,,,,,,,,P,TGT,"F vurderer, at hittet rammer i brystkassen.",,,
41,2,,,,,,,,,,,,,
42,2,IBB,CC,BCFMHN,,,,RWD,P,,SORT15 PÅ 42Y LINE FJERNEST FRA KAMERAET,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,M,,CATCH/NO CATCH,,,
50,2,,,,,,,,,,,,,
51,2,OFK,MC,BM,,,,D,P,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,P,PF-LTO,NOTE: VURDERET AF L TIL IKKE NOK UMF FACTOR,,,
54,2,,,,,,,,,,,,,
55,2,UC-UNS,NG,BG,,,,,P,,KALDT PÅ HVID 77 FOR BAD LANGUAGE,,,
56,2,IDP,WAIVED,LW,,,,,P,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,PF-FMM,NG,RG,,,,RWD,P,,B44 MOD RUNNER PÅ 40Y LINE,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,DPI-NPB,IC,LI,,,,RWD,P,,SORT21 MOD HVID85,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,M,,FORWRD FUMBLE OOB?,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,
76,3,,,,,,,,M,,REF SHOULD CHOOSE A SIDE,,,
77,3,,,,,,,,,,,,,
78,3,,,,,,,,,,,,,
79,3,,,,,,,,,,,,,
80,3,,,,,,,,,,,,,
81,3,ILF,CC,RC,,,,RW,P,,#7 AWAY,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,,,,,,,,M,,H - NO NEED TO SIDE STEP AFTER CATCH,,,
85,3,FST,MC,LM,,,,RW,P,,A8 SLOT RECEIVER,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,PF-UNR,CC,BC,,,,RWD,P,,SORT88 MOD HVID63 PÅ 40Y LINE. KALDT SOM BSB.,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,M,,SUPER SPOT AF SHORT WINGS,,,
97,3,FST,CC,UCHC,,,,RW,P,,"MIDDLE RECEIVER IN BUNCH, RG",,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,,M,,L GOOD RULING ON FWR/BWR PASS,,,
101,3,UC-UNS,NG,BG,,,,RWD,P,,B24 BAD LANGUAGE,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,P,,,,,
106,4,OFH-TD,NG,RG,,,,RWD,P,,SGD 21 PÅ 35Y LINE FJERNEST FRA KAMERA,,,
107,4,,,,,,,,,,,,,
108,4,,,,,,,,,,,,,
109,4,,,,,,,,,,,,,
110,4,IDP,IC,LI,,,,W,P,,SGD 66,,,
111,4,IDP,WAIVED,LW,,,,W,P,,SGD 68 - FLAG WAIVED,,,
112,4,,,,,,,,,,,,,
113,4,,,,,,,,,,,,,
114,4,,,,,,,,,,,,,
115,4,,,,,,,,,,,,,
116,4,,,,,,,,,,,,,
117,4,,,,,,,,,,,,,
118,4,,,,,,,,,,,,,
119,4,,,,,,,,,,,,,
120,4,,,,,,,,,,,,,
121,4,,,,,,,,,,,,,
122,4,,,,,,,,,,,,,
123,4,,,,,,,,,,,,,
124,4,,,,,,,,,,,,,
125,4,DOF-WC,CC,HCUCLC,,,,RWD,P,,,,,
126,4,,,,,,,,,,,,,
127,4,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,
129,4,,,,,,,,,,,,,
130,4,,,,,,,,,,,,,
131,4,,,,,,,,,,,,,
132,4,FST,CC,LCUC,,,,RW,P,,"RT OG RG, BEMÆRK 2 SPIL I KLIPPET",,,
133,4,DOG,CC,BC,,,,D,P,,BEMÆRK 2 SPIL I KLIPPET,,,
134,4,,,,,,,,,,,,,
135,4,OFH,NG,RGUG,,,,RWD,P,,A88,,,
136,4,,,,,,,,,,,,,
137,4,,,,,,,,,,,,,
138,4,,,,,,,,,,,,,
