PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,KOB,CC,HC,,,,,P,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,MUFFED PUNT,,,
9,1,,,,,,,,,,,,,
10,1,DOF,CC,HCLM,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,DOF,CC,HCLC,,,,,,,TÆT PÅ FST,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,PF-UNR,B13 BAG LØBET,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,PF-FMM,CC,LCUC,,,,RWD,P,,B29 MOD A21 EFTER CATCH,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,RWD,M,,GOOD CALL FOR DOWN BEFORE PASS,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,2,,,,,,,,,,,,,
35,2,,,,,,,,,,,,,
36,2,,,,,,,,,,,,,
37,2,,,,,,,,,,,,,
38,2,,,,,,,,,,,,,
39,2,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,
41,2,,,,,,,RW,P,ILW,ILLEGAL WEDGE PÅ HVIS 0?,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,ILM,CC,LC,,,,W,P,,A13 NÆRMESTE RECEIVER STARTER MOTION FRA LOS,,,
46,2,FST,MC,HM,,,,RW,P,,OFFENSE NOT SET,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,W,M,,WHERE IS FORWARD PROGRESS?,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,FST,CC,HCUC,,,,RW,P,,LG A64,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,W,M,,EXCELLENT SPOT,,,
58,2,,,,,,,WD,M,,BØR MÅSKE FLØJTES DØD TIDLIGERE FOR AT UNDGÅ SMÅSKUBBERI,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,FST,MC,HM,,,,RW,P,,A8 SLOTRECEIVER - JERK OG BEVÆGELSE AF OVERKROP INDEN SNAP,,,
63,2,,,,,,,,M,,FUMBLE ELLER INCOMPLETE? ING? KALDT SOM INCOMPLETE,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,RW,P,OFH,RT A77 MOD B2,,,
66,2,,,,,,,W,M,,GOOD CLEAR INBOUNDS SIGNAL - BUT CLOCK STOPS ON 4TH DOWN,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,DOF-NZI,CC,UCHC,,,,RW,P,,DT B76,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,3,,,,,,,,,,,,,
76,3,,,,,,,,,,,,,
77,3,,,,,,,,,,,,,
78,3,,,,,,,,,,,,,
79,3,,,,,,,,,,,,,
80,3,,,,,,,,,,,,,
81,3,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,OFH-GR,CC,HCRN,,,,RWD,P,,RT55,,,
85,3,,,,,,,,M,,SIDELINE CATCH/NO-CATCH - RULED A CATCH SINCE A STEP IS TAKEN,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,FST,MC,HM,,,,W,P,,FST OFFENSE NOT SET,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,WD,P,DEH,B30 MOD A5 - FJERNESTE RECEIVER,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,DPI-NPB,CC,BC,PF-BBW,NC,RN,RWD,P,BBW,DPI B6 MOD RECEIVER - POSSIBLE FOUL BBW FJERNESTE RB A29 MOD B12,,,
101,3,PF-FMM,NG,UG,,,,RWD,P,,DT B98 (SE EZ),,,
102,3,FST,CC,RC,,,,RW,P,,RB A29,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,RW,P,OFH-GR,LG A64 MOD B76,,,
109,4,OFH-TD,CC,RCHN,,,,RW,P,,LT A72 MOD B98,,,
110,4,,,,,,,,,,,,,
111,4,,,,,,,,,,,,,
112,4,,,,,,,,,,,,,
113,4,,,,,,,,,,,,,
114,4,,,,,,,,,,,,,
115,4,,,,,,,,,,,,,
116,4,,,,,,,,,,,,,
117,4,,,,,,,,,,,,,
118,4,,,,,,,,,,,,,
119,4,,,,,,,,,,,,,
120,4,,,,,,,RWD,M,,EMINENT KALD PÅ AT BOLDEN IKKE ER NEDE,,,
121,4,,,,,,,,,,,,,
122,4,,,,,,,RWD,M,,TYDELIGT SIGNAL OM AT RUNNER ER NEDE,,,
123,4,,,,,,,,,,,,,
124,4,,,,,,,,,,,,,
125,4,,,,,,,,,,,,,
126,4,,,,,,,,,,,,,
127,4,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,
129,4,DPI-NPB,CC,FC,,,,WD,P,,B30 MOD A21 SE EZ,,,
130,4,,,,,,,,,,,,,
131,4,,,,,,,,,,,,,
132,4,KOB,CC,HC,,,,W,P,,,,,
133,4,,,,,,,,,,,,,
