PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,"F FOR LANGT NED I BANEN, H BLIV PÅ GL",,,
3,1,,,,,,,,,A55,"F PINCH HVIS DET ER,",,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,ER DERES WING A12 PÅ ELLER AF?,,,
7,1,,,,,,,,,,A56 SLUTNING AF SPILLET,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,"DER SKER NOGET UDENFOR BILLEDET, DET SKAL R VÆRE PÅ",,,
11,1,,,,,,,,,,"GODT AT VI REDEDE DENNE INDEN SNAP, KUN FREEKICK TOUCHBACK PÅ 25",,,
12,1,,,,,,,,,,F PINCH,,,
13,1,,,,,,,,,,"TRÆNERE PÅ BANEN, HVORFOR",,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,A54 + B24,"ER DET NOK? A54OFH, B24FMM",,,
27,1,,,,,,,,,,GOD KOMMUNIKATION FRA H TIL S,,,
28,1,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,,,,BALL RELAY VAR IKKE VORES STYRKE DENNE DAG SOM CREW,,,
31,1,,,,,,,,,,,,,
32,1,PF-UNR,MC,RM,,,,,,A67,,,,
33,1,,,,,,,,,,U HUSK DU HAR BEGGE G,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,1,,,,,,,,,,A84 TALK TO FINT,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,2,,,,,,,,,,HVIS VI HAR BRUG FOR AT LÆNE OS MÅ STÅR DE FOR LANGT FREMME,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,A54 NOK TIL OFH?,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,"B50 DEH, HJÆLPE SIG SELV ELLER MEDSPILLEREN?",,,
48,2,,,,,,,,,,L GODE SIGNALER FOR RESULTATET AF SPILLET,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,B IKKE HELT MED PÅ SPILLET,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,KAN VÆRE GODT AT FÅ HVORFOR DER IKKE ER NOGET PÅ DENNE,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,A63 SER VI DEN?,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,"ARBJEDET EFTER SPILLET, BALL RELAY",,,
76,2,PF-UNR,CC,BC,,,,,,,,,,
77,2,,,,,,,,,,FORKERT RÆKKE I ANNONSERING,,,
78,2,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,,,,,,
84,2,,,,,,,,,,A63 L SER VI DENNE?,,,
85,2,,,,,,,,,,,,,
86,2,,,,,,,,,,,,,
87,2,,,,,,,,,,,,,
88,2,,,,,,,,,,,,,
89,2,,,,,,,,,,,,,
90,2,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,M,,"GOD FOKUS L, BRUG GERNE GAMMEL BOLD TIL SPOT",,,
97,3,OFH-TD,CC,UC,,,,,P,,RT56,,,
98,3,DPI-NPB,CC,LCBC,UC-ABL,NG,UG,,P,,UC KALDT PÅ B63,,,
99,3,,,,,,,,M,,GODT KALD AF R AT KNÆ ER NEDE,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,DOF-NZI,CC,UCHC,,,,,PB,,THE VERY LATE FLAG,,,
109,3,,,,,,,,,,,,,
110,3,ILF,CC,LCHN,PF-RTK,CC,RC,,P,,INGEN KOMM FRA H,,,
111,3,,,,,,,,,,,,,
112,3,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,
114,3,,,,,,,,,,,,,
115,3,,,,,,,,,,,,,
116,3,KOB,CC,HC,,,,,P,,,,,
117,3,,,,,,,,,,,,,
118,3,,,,,,,,,,,,,
119,3,,,,,,,,,,,,,
120,3,,,,,,,,,,,,,
121,4,,,,,,,,,,,,,
122,4,DPI-NPB,CC,HC,,,,,PM,,GODT EKSEMPEL PÅ TRIPLE CHECK,,,
123,4,,,,,,,,,,,,,
124,4,,,,,,,,M,,HVORFOR ER S DEN FØRSTE TIL AT STOPPE URET. HVOR HAR S FOKUS?,,,
125,4,,,,,,,,B,,U I TÆT TRAFIK,,,
126,4,FST,CC,LC,,,,,P,,TE57,,,
127,4,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,
129,4,,,,,,,,M,,F HOLD DIG DYB OG PÅ SIDELINJEN,,,
130,4,,,,,,,,,,,,,
131,4,,,,,,,,,,,,,
132,4,,,,,,,,,,,,,
133,4,PF-FMM,CC,RCSC,,,,,P,,B63,,,
134,4,,,,,,,,,,,,,
135,4,,,,,,,,,,,,,
136,4,SUB,NC,RNUN,,,,,P,SUB,BREAKER HUDL MED 12,,,
137,4,,,,,,,,M,,HARD SELL AF H,,,
138,4,,,,,,,,,,,,,
139,4,,,,,,,,,,,,,
140,4,,,,,,,,,,,,,
141,4,OFH-GR,CC,RC,,,,,P,,LT63,,,
142,4,UC-ABL,NG,RG,,,,,P,,B56,,,
143,4,FST,CC,UC,,,,,P,,RG50,,,
144,4,,,,,,,,,,,,,
145,4,,,,,,,,,,,,,
146,4,FST,NC,LN,,,,,PB,FST,FST ELLER MOTION,,,
147,4,,,,,,,,,,,,,
148,4,,,,,,,,PM,OH/HR,LG68. F LAVER SIGNAL INDEN DET ER SIKKERT HAN OVERLEVER JORDEN,,,
149,4,,,,,,,,,,,,,
150,4,,,,,,,,,,,,,
151,4,,,,,,,,,,,,,
152,4,,,,,,,,,,,,,
153,4,,,,,,,,,,,,,
154,4,,,,,,,,,,,,,
155,4,OFH-TD,IC,UI,,,,,P,,LG58,,,
156,4,,,,,,,,,,,,,
157,4,UC-UNS,NG,BG,,,,,P,,A11 LATE ACTION,,,
158,4,,,,,,,,,,,,,
159,4,,,,,,,,,,,,,
