PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,SCORE,IFAF
1,1,,,,,,,,,,,,
2,1,PF-BSB,IC,BI,,,,D,P,,B57 MOD A9 @ B-26,,
3,1,,,,,,,,,,,,
4,1,,,,,,,,,,,,
5,1,,,,,,,,,,,,
6,1,FST,CC,HCUC,,,,,,,,,
7,1,,,,,,,,,,,,
8,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
11,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
13,1,,,,,,,,,,,,
14,1,,,,,,,,,,,,
15,1,,,,,,,,,,,,
16,1,,,,,,,,,,,,
17,1,,,,,,,,,,,,
18,1,,,,,,,,,,,,
19,1,,,,,,,,,,,,
20,1,,,,,,,,,,,,
21,1,,,,,,,,,,,,
22,1,,,,,,,,,,,,
23,1,,,,,,,,,,,,
24,1,DOF-NZI,CC,LC,,,,,,,,,
25,1,OPI-BK,CC,FC,,,,,,,,,
26,1,,,,,,,,,,,,
27,1,,,,,,,,,,,,
28,1,,,,,,,,,,,,
29,1,,,,,,,,,,,,
30,1,,,,,,,,,,,,
31,1,,,,,,,,,,,,
32,1,,,,,,,,,,,,
33,1,,,,,,,,,,,,
34,1,,,,,,,,,,,,
35,1,,,,,,,,,,,,
36,1,,,,,,,,,,,,
37,1,,,,,,,,,,,,
38,1,,,,,,,,,,,,
39,1,,,,,,,,,,,,
40,2,,,,,,,,,,,,
41,2,,,,,,,,,,,,
42,2,,,,,,,,,,,,
43,2,,,,,,,,,,,,
44,2,,,,,,,,,,,,
45,2,,,,,,,,,,,,
46,2,,,,,,,,,,,,
47,2,,,,,,,,,,,,
48,2,,,,,,,,,,,,
49,2,,,,,,,,,,,,
50,2,,,,,,,,,,,,
51,2,,,,,,,,,,,,
52,2,,,,,,,,,,,,
53,2,,,,,,,,,,,,
54,2,,,,,,,,,,,,
55,2,,,,,,,,,,,,
56,2,,,,,,,,,,,,
57,2,,,,,,,,,,,,
58,2,,,,,,,,,,,,
59,2,,,,,,,,,,,,
60,2,,,,,,,,,,,,
61,2,,,,,,,,,,,,
62,2,OFH-GR,CC,UCHN,UC-TAU,NG,BN,,,,OH 78 SORT UC 59 SORT,,
63,2,,,,,,,,F,PF UNR,78 SORT HIT EFTER SPIL EZ SHOT,,
64,2,PF-BSB,WAIVED,UW,,,,RWD,P,PF-HCT,MOD QB A8 - BSB WAIVED,"U: LUCKY LUKE, SE HELE ACTION FØR WHIPPING IT OUT",
65,2,DOF-NZI,CC,HCUCLN,,,,,,,,,
66,2,,,,,,,,,,,,
67,2,,,,,,,,,,,,
68,2,,,,,,,,,,,,
69,2,,,,,,,,,,,,
70,2,,,,,,,,,,,,
71,2,,,,,,,,,,,,
72,2,,,,,,,,,,,,
73,2,,,,,,,,,,,,
74,2,OFH-GR,MC,RM,,,,,,,A78 RT,,
75,2,DPI-NPB,WAIVED,BW,,,,D,P,,B17,,
76,2,,,,,,,,,,,,
77,2,,,,,,,,,,,,
78,2,,,,,,,,,,,,
79,2,,,,,,,,,,,,
80,2,,,,,,,,,,,,
