PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,BLOOPER,,R GLEMMER HAN IKKE ER U I DAG.,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,DOF,CC,HCLC,,,,,,,SKULLE DEN HAVE VÆRET LUKKET NED?,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,B,,MÅ JEG TAGE ARMENE NED NU??,,,
26,1,,,,,,,,,,,,,
27,1,DOF,CC,HC,,,,,,,NR 1,,,
28,1,UC-DBS,CC,LCFCSC,UC-DBS,CC,LCFCSC,,,,55 SORT OG 5+59 RØD.,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,2,,,,,,,,,,,,,
33,2,,,,,,,,,,,,,
34,2,DOF,CC,HC,,,,,,,,,,
35,2,,,,,,,,,,,,,
36,2,,,,,,,,,,,,,
37,2,,,,,,,,,,,,,
38,2,PF-UNR,IC,HI,,,,,,,Note fra H: VURDERINGEN ER AT 17 KAN NÅ AT UNDVIE,,,
39,2,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,
41,2,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,OFH-GR,CC,RC,,,,,,,RØD 72,,,
45,2,DOF-NZI,CC,HCUC,,,,,,,69,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,FST,NC,LN,,,,,P,FST,SORT 59 OG SORT 4,,,
52,2,,,,,,,,,,,,,
53,2,PF-UNR,MC,SM,,,,,,,RØD 9,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,DPI-NPB,NG,LGFG,,,,,,,RØD 17,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,DOG,NG,BG,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,DOG,NG,BG,,,,,,,HAR DER VÆRET EN HÅND I VEJRET?,,,
72,2,,,,,,,,,,,,,
73,2,FST,CC,LC,,,,,,,RT,,,
74,2,FST,CC,LC,,,,,,,SORT 86,,,
75,2,PF-UNR,NC,BNUN,,,,,P,PF-UNR,HVID 4 MOD RØD 17 - SES BEDST I EZ SHOT,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,M,,VIL VI HAVE R TIL AT DÆKKE QB TÆTTERE?,,,
79,2,,,,,,,,,,,,,
80,2,,,,,,,,,,ER HAN NEDE FØR DER FUMBLES?,,,
81,2,,,,,,,,,,,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,,,HVAD LAVER RØD 17 OG SORT 4?,,,
84,3,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,KOB,CC,LC,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,FST,CC,LC,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,IDP,CC,CW,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,,,,,,,
109,3,,,,,,,,,,,,,
110,3,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,
112,4,,,,,,,,,,,,,
113,4,PF-RTP,CC,RC,,,,,,,,,,
114,4,,,,,,,,,,,,,
115,4,,,,,,,,,,,,,
116,4,,,,,,,,,,,,,
117,4,,,,,,,,,,,,,
118,4,,,,,,,,,,,,,
119,4,,,,,,,,,,,,,
120,4,,,,,,,,,,,,,
121,4,,,,,,,,,,,,,
122,4,,,,,,,,,,,,,
123,4,,,,,,,,,,,,,
124,4,,,,,,,,,,,,,
125,4,OFH-TD,CC,RC,,,,,,,,,,
126,4,,,,,,,,,,,,,
127,4,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,
