PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,PF-UNR,MC,RM,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,OFH-GR,CC,RC,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,KOB,CC,LC,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,FST,CC,UCLN,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,DOG,NG,BG,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,1,OFH-TD,CC,UC,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,DOG,NG,BG,,,,,,,,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,
41,2,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,PF-BBW,IC,UI,,,,,,,,,,
69,2,OPI-BK,NG,SG,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,UC-UNS,CC,UC,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,
81,3,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,SUB,CC,RCUC,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,
91,3,PF-UNR,CC,UC,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,,,,,,
106,3,PF-BSB,IC,UI,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,,,,,,,
109,3,,,,,,,,,,,,,
110,3,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,
112,3,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,
114,3,DPI-NPB,CC,FCBC,,,,,,,,,,
115,3,,,,,,,,,,,,,
116,3,,,,,,,,,,,,,
117,3,,,,,,,,,,,,,
118,3,,,,,,,,,,,,,
119,3,,,,,,,,,,,,,
120,3,,,,,,,,,,,,,
121,3,,,,,,,,,,,,,
122,3,DOF,CC,UCHC,,,,,,,,,,
123,3,,,,,,,,,,,,,
124,4,,,,,,,,,,,,,
125,4,,,,,,,,,,,,,
126,4,,,,,,,,,,,,,
