PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,FST,CC,UC,,,,RW,P,,CENTER A55 (SE EZ),,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,DOG,NG,BG,,,,D,P,,,,,
24,1,FST,IC,HI,,,,RW,P,,A7 SLOTBACK (SE EZ),,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,RW,P,FST,A33 NÆRMESTE RECEIVER,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,W,M,,GOD FOKUS PÅ FORWARD PROGRESS SPOT,,,
31,1,,,,,,,D,M,,B BLIVER BRÆNDT DYBT,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,PF-FMM,NG,UG,,,,RWD,P,,B42 MOD RUNNER A4,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,W,M,,L: VÆR LIDT TYDELIGERE MED 1.DOWN SIGNAL,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,D,M,,"SÅDAN SKAL ET LÆKKERT ""PAT GOOD""-SIGNAL SE UD",,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,RWD,M,,CATCH/FUMBLE ELLER INCOMPLETE - KALDT SOM CATCH/FUMBLE,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,WD,M,,GOD DISCUSSION OG GODT TYDELIGT SIGNAL,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,PF-TGD,WAIVED,UW,,,,RWD,P,,WAIVED AFTER DISCUSSION,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,ILF,CC,LCHN,OFH-GR,CC,RCUC,RW,P,FST,"ILF 5 IN BF, OH A29, POSSIBLE FST ON RG",,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,RWD,M,,CATCH/FUMBLE OR INCOMPLETE - KALDT SOM INCOMPLETE,,,
79,2,DPI-NPB,IC,UI,PF-RTP,CC,RC,RWD,P,,"DPI B1 MOD A13 DECLINED, PF-RTP B56 CONTACT TO THE HELMET ACCEPTED",,,
80,2,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,,,,,,
84,2,,,,,,,,,,,,,
85,2,IDP,CC,HC,,,,RW,P,,A4 OG B4,,,
86,2,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,OFH-TD,CC,RC,OFH-GR,IC,LI,RWD,P,,"GR PÅ WR A33 DECLINED, TD PÅ RB A29 ACCEPTED",,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,W,M,,GODT SPOT!,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
