PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,DOF-UN,CC,HC,PF-UNR,NG,RG,,,,HVID NR 2 PÅ DOF. UNR FORDI SPILLET VAR FLØJTET AF OG VI KAN IKKE HAVE,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,D,P,PF-TGD,HVAD SYNTES VI OM HITTET PÅ WR,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,,,,,,,WR,P,OFH-GR,AF TE I VENSTRE SIDE,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,1,PF-FMM,NG,RGHG,,,,,,,SORT 56,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,
42,1,OFK,MC,BM,,,,,,,,,,
43,1,,,,,,,WR,P,PF/TAU,"HVID 2. FÅR EN TALK-TO AF BÅDE H OG R, MEN ER DET NOK TIL FLAG?",,,
44,1,FST,CC,LC,,,,,B,,WR nÆRMEST KAMERA. BLOOPER: TÆT PÅ AT L IKKE KUNNE FÅ FLERE BØRN,,,
45,1,,,,,,,,,,,,,
46,1,FST,NG,HG,,,,,,,SORT 68,,,
47,1,DPI-HT,CC,BC,,,,,,,LIGNER MERE EN HOOK AND TURN,,,
48,1,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,
81,2,OFH-GR,CC,RC,,,,,,,HVID 55,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,M,,GODT MED EN TALK TO AF R,,,
84,2,PF-FMM,CC,HC,,,,,,,"KALDT PÅ SORT 50, SES BEDST I EZ",,,
85,2,,,,,,,,,,,,,
86,2,,,,,,,,,,,,,
87,2,,,,,,,,,,,,,
88,2,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,M+P,,BWRD PASS PUNCH - LILLE HOLDING HVID 55 - TALK TO ?,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,P,,"HVID 88 HOLDING, LILLE MEN I POA - SAMTIDIG MED TACKILING",,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,P,,NÅR HVID 8 AT SE BLINDSIDE AF SORT 55 FORAN TACKLING ?,,,
96,3,UC-ABL,NG,LG,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,MW,,STOP SPILLET MERE AGRESSIVT NÅR QB BLIVER HOLDT,,,
99,3,OFK,MC,BM,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
