PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,OFH-GR,CC,RCLN,,,,,P,,,,,
5,1,,,,,,,,M,,"GOD PRESENCE AF B, U OG R",,,
6,1,FST,CC,HCUCRM,,,,,P,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,M,,"GOD TALK TO TIL SORT 55, MEN INSTIGATOREN (HVID 98) BØR OGSÅ FÅ EN",,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,P,PF-TGD,VURDERINGEN VAR AT VI MANGLEDE INDIKATOR (ATTACK WITH FORCE),,,
13,1,OFH-GR,CC,UC,,,,,P,,SNAPPEREN,,,
14,1,,,,,,,,V,,EZ SOVER,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,B,,WHAT I VIEW! :),,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,DOF,CC,LCHN,,,,,P,,,,,
32,1,,,,,,,,,,,,,
33,1,PF-RTP,IC,RI,,,,,P,,,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,UC-TAU,NC,FNBNUN,,,,RD,P,UC,HIGH-FIVE PÅ VEJ IND I ENDZONE ER IKKE UC? TO MAND SER DIREKTE PÅ DET,,,
37,1,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,DOF-NZI,CC,HCUMLM,,,,,P,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,OFH-GR,NG,UG,,,,,,,SORT 51,,,
58,2,,,,,,,,,,,,,
59,2,UC-TAU,NC,FNBN,,,,D,P,UC,BUK I HOFTEN - ER NÆVNT SPECIFIKT I UC REGLEN SOM ULOVLIGT,,,
60,2,,,,,,,,,,,,,
61,2,KOB,NG,LG,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,IBB,IC,BI,,,,,,,BEGÅET AF HVID 21,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,P,PF-BSB,HVID 55 BAG VED SPILLET,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,
79,2,DPI-NPB,NG,FG,,,,RWD,P,FST,DPI B6 MOD RECEIVER (NOT VISIBLE). FST OFFENSE NOT SET?,,,
80,2,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,
82,2,KOB,CC,HC,,,,W,P,,,,,
83,2,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,FST,IC,LI,,,,RW,P,,O75 RG,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,FST,CC,HC,,,,RW,P,,ØVERSTE WR,,,
94,3,,,,,,,,V,,LAST SL SHOT,,,
95,3,DOF,NG,LG,,,,W,P,,DT B61,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,OFH-TD,CC,RC,,,,RWD,P,,CALLED ON A67N- I DO NOT SEE A PENALTY,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,,,,,,,
