PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,SUB,WAIVED,RW,,,,R,P,,WAIVED PGA TIMEOUT KALDT SAMTIDIGT,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,DOF,NG,HG,,,,W,P,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,2,,,,,,,,,,,,,
29,2,,,,,,,,,,,,,
30,2,,,,,,,,,,,,,
31,2,PF-FMM,NG,BG,,,,D,P,,,,,
32,2,OFH-TD,CC,UC,,,,R,P,,SORT 73,,,
33,2,,,,,,,,,,,,,
34,2,,,,,,,,,,,,,
35,2,,,,,,,,,,,,,
36,2,,,,,,,,,,,,,
37,2,,,,,,,,P,PF UNR,"SORT 11, NOK TIL FLAG?",,,
38,2,,,,,,,,,,,,,
39,2,DOF-WC,CC,UCHCLM,,,,RW,P,,,,,
40,2,,,,,,,,P,PF/SKE,"EZ SHOT, HVAD LAVER SORT 11?",,,
41,2,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,DOF-NZI,CC,HC,,,,W,P,,,,,
47,2,,,,,,,,,,,,,
48,2,OFH-GR,IC,RI,,,,R,P,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,FST,CC,HCLCUC,,,,RW,P,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,M,,H BLIVER FANGET I REVERSE MECHANICS,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,PF-UNR,MC,UM,,,,R,P,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,ING,NC,RN,,,,R,P,ING,ER HAN UDE AF TACKLE BOX?,,,
61,2,OFH-GR,CC,HC,,,,W,P,,HØJRE TACKLE,,,
62,2,,,,,,,,,,,,,
63,2,PF-RTP,IC,RI,,,,R,P,,,,,
64,2,DOG,WAIVED,BW,,,,D,PB,,U: HVIS JEG GRIBER DEN OG PAKKER DEN VÆK OPDAGER DE DET IKKE,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,3,,,,,,,,,,,,,
70,3,PF-UNR,CC,RC,,,,R,P,,21 D,,,
71,3,UC-TAU,CC,RC,,,,R,P,,10 DEF,,,
72,3,,,,,,,,,,,,,
73,3,,,,,,,,,,,,,
74,3,,,,,,,,,,,,,
75,3,,,,,,,,,,,,,
76,3,,,,,,,,,,,,,
77,3,,,,,,,,,,SHUT IT DOWNN,,,
78,3,,,,,,,,,,,,,
79,3,,,,,,,,,,,,,
80,3,,,,,,,,,,,,,
81,3,PF-RTP,CC,RC,PF-TGD,NC,RN,R,P,,,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,
85,3,,,,,,,,,,BROKEN PUNT,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,DOG,NG,BG,,,,D,P,,,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,4,,,,,,,,,,RG73,,,
97,4,,,,,,,,,,"SGD 7, SVÆR AT SE",,,
98,4,,,,,,,,,,,,,
99,4,,,,,,,,,,,,,
100,4,,,,,,,,,,,,,
101,4,,,,,,,,,,RT77,,,
102,4,,,,,,,,,,,,,
103,4,,,,,,,,,,"RG, ER DET NOK TIL IKKE VÆRE OFH",,,
104,4,,,,,,,,,,,,,
105,4,,,,,,,,,,,,,
106,4,,,,,,,,,,,,,
