PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,SCORE,IFAF
1,1,,,,,,,,,,,,
2,1,,,,,,,,,,,,
3,1,,,,,,,,,,,,
4,1,,,,,,,,M,,GOD PRESENCE,,
5,1,,,,,,,,,,,,
6,1,DOF-NZI,NG,HG,,,,,PM,,B3 MÅSKE LIDT TYND? U LÅSER I STEDET FOR C,,
7,1,,,,,,,W,P,FST NOT SET,DE KOMMER VIST ALDRIG HELT PÅ PLADS?,,
8,1,,,,,,,,,,,,
9,1,,,,,,,R,M,,GODT TYDELIGT SIGNAL,,
10,1,,,,,,,,,,,,
11,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
13,1,,,,,,,,M,,U SPOTTER,,
14,1,,,,,,,,V,,EZ MANGLER HELE SPILLET,,
15,1,,,,,,,,M,,U LÅSER,,
16,1,,,,,,,,V,,EZ MANGLER HELE SPILLET,,
17,1,,,,,,,,,,,,
18,1,DOF-NZI,NG,HG,,,,,P,,B43 I PR MEN LIGNER B9,,
19,1,,,,,,,,,,,,
20,1,,,,,,,,,,,,
21,1,,,,,,,W,P,,OH HVID 9,,
22,1,OFH-GR,WAIVED,UW,,,,R,P,,HVID 66 (CENTER),,
23,1,,,,,,,,M,,U SPOTTER,,
24,1,,,,,,,,M,,R + U TÆLLER,,
25,1,,,,,,,R,P,PF/CHB,HVID 66+64 MOD RØD 10. SES BEDST I EZ,,
26,1,,,,,,,R,P,PF/LEA,B10. ER HÆNDERNE PÅ CENTER NOK?,,
27,1,,,,,,,,,,,,
28,1,,,,,,,,M,,C SPOTTER - U TÆLLER,,
29,1,,,,,,,,,,,,
30,1,,,,,,,,,,,,
31,1,,,,,,,,,,,,
32,1,,,,,,,,,,,,
33,1,,,,,,,,,,,,
34,1,,,,,,,,,,,,
35,1,,,,,,,,,,,,
36,1,,,,,,,,,,,,
37,1,,,,,,,,M,,U LÅSER. C BØR OVERTAGE,,
38,1,DOF-NZI,NG,HGLG,,,,W,PMB,,B33 - U + C BUTTER FINGERS,,
39,1,,,,,,,,,,,,
40,1,,,,,,,,,,,,
41,2,,,,,,,,,,,,
42,2,,,,,,,,,,,,
43,2,,,,,,,,,,,,
44,2,,,,,,,,M,,U SPOTTER OG TÆLLER,,
45,2,,,,,,,,,,,,
46,2,PF-BBW,CC,RC,,,,,PM,,HVID 20 - C LÅSER - BØR VÆRE U. UDMÅLES FRA FLAG OG IKKE EOR?,,
47,2,OFH-GR,NG,UG,,,,,P,,PR SAYS A64 BUT IS ON A78,,
48,2,,,,,,,,,,,,
49,2,,,,,,,,,,,,
50,2,,,,,,,,,,,,
51,2,,,,,,,,,,,,
52,2,,,,,,,,,,,,
53,2,,,,,,,,,,,,
54,2,,,,,,,,M,,"U HENTER, C SPOTTER",,
55,2,,,,,,,,,,,,
56,2,,,,,,,,,,,,
57,2,,,,,,,,,,,,
58,2,,,,,,,WD,P,PF/FMM + PF/UNR,RØD 9 OG HVID 66,,
59,2,,,,,,,,M,,U NÅR OP OG LÅSER,,
60,2,,,,,,,,M,,U LÅSER. C BØR OVERTAGE,,
61,2,,,,,,,,M,,C SPOTTER MED HALEN PÅ,,
62,2,,,,,,,,,,,,
63,2,,,,,,,,,,,,
64,2,,,,,,,,,,,,
65,2,,,,,,,,,,,,
66,2,,,,,,,,,,,,
67,2,,,,,,,,,,,,
68,2,OFH-TD,NC,RN,,,,R,P,OH/TD,A55,,
69,2,,,,,,,,M,,ER C MED PÅ BANEN?,,
70,2,,,,,,,,,,,,
71,2,,,,,,,,,,,,
72,2,,,,,,,,,,,,
73,2,,,,,,,,,,,,
74,2,,,,,,,,,,,,
75,2,,,,,,,,M,,"C LÅSER, MEN GÅR FØR TO ER GÅET.",,
76,2,,,,,,,,M,,STÆRK TALKTO AF F,,
77,2,,,,,,,,,,,,
78,2,,,,,,,,,,,,
79,2,KOB,CC,HC,,,,,P,,RØD 12,,
80,2,,,,,,,,,,,,
81,2,,,,,,,,M,,C KOM PÅ PLADS,,
82,2,,,,,,,,,,,,
83,2,,,,,,,,,,,,
84,2,,,,,,,WD,M,,SE LÆDER. FLØJTES AF MEN ER INTERCEPTED,,
85,2,,,,,,,,B,,BEANBAG PÅ S FUMBLE,,
86,3,,,,,,,,,,,,
87,3,,,,,,,,,,,,
88,3,,,,,,,,,,,,
89,3,,,,,,,,M,,C LÅSER,,
90,3,PF-UNR,NC,SN,,,,D,P,PF/UNR,HVID 40 MOD RØD 17 NEDE AD BANEN.,,
