PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,SCORE,IFAF
1,1,,,,,,,,,,,,
2,1,,,,,,,,,,,,
3,1,,,,,,,,,,,,
4,1,,,,,,,,,,,,
5,1,,,,,,,,,,,,
6,1,,,,,,,,,,,,
7,1,,,,,,,,,,,,
8,1,,,,,,,,,,,,
9,1,,,,,,,,,,,,
10,1,,,,,,,,,,,,
11,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
13,1,,,,,,,,,,,,
14,1,,,,,,,,,,,,
15,1,,,,,,,,,,,,
16,1,,,,,,,,,,,,
17,1,,,,,,,,,,,,
18,1,,,,,,,,,,,,
19,1,,,,,,,,,,,,
20,1,,,,,,,,,,,,
21,1,,,,,,,,,,,,
22,1,,,,,,,,,,,,
23,1,,,,,,,,,,,,
24,1,,,,,,,,,,,,
25,1,,,,,,,,,,,,
26,1,,,,,,,,,,,,
27,1,,,,,,,,,,,,
28,1,,,,,,,,,,,,
29,1,,,,,,,,,,,,
30,1,,,,,,,,,,,,
31,1,,,,,,,,,,,,
32,1,,,,,,,,,,,,
33,1,,,,,,,,,,,,
34,1,,,,,,,,,,,,
35,1,,,,,,,,,,,,
36,1,,,,,,,,,,,,
37,2,,,,,,,,,,,,
38,2,,,,,,,,,,,,
39,2,,,,,,,,,,,,
40,2,,,,,,,,,,,,
41,2,,,,,,,,,,,,
42,2,DOF-NZI,CC,UCHCLC,,,,,,,,,
43,2,,,,,,,,,,,,
44,2,,,,,,,,,,,,
45,2,,,,,,,,,,,,
46,2,,,,,,,,,,,,
47,2,,,,,,,,,,,,
48,2,,,,,,,,,,,,
49,2,,,,,,,,,,,,
50,2,,,,,,,,,,,,
51,2,DPI-HT,CC,SCBC,,,,D,,,,,
52,2,,,,,,,,,,,,
53,2,,,,,,,,,,,,
54,2,,,,,,,,,,,,
55,2,,,,,,,,,,,,
56,2,,,,,,,,,,,,
57,2,,,,,,,,,,,,
58,2,,,,,,,,,,,,
59,2,,,,,,,,,,,,
60,2,,,,,,,,,,,,
61,2,,,,,,,,,,,,
62,2,,,,,,,,,,,,
63,2,,,,,,,,,,,,
64,2,,,,,,,,,,,,
65,2,,,,,,,,,,,,
66,2,,,,,,,,,,,,
67,2,,,,,,,,,,,,
68,2,,,,,,,,,,,,
69,2,,,,,,,,,,,,
70,2,,,,,,,,,,,,
71,2,,,,,,,,,,,,
72,2,,,,,,,,,,,,
73,2,,,,,,,,,,,,
74,2,,,,,,,,,,,,
75,2,,,,,,,,,,,,
76,2,,,,,,,,,,,,
77,2,,,,,,,,,,,,
78,2,,,,,,,,,,,,
79,2,,,,,,,,,,,,
80,2,,,,,,,,,,,,
81,2,,,,,,,,,,,,
82,2,,,,,,,,,,,,
83,2,,,,,,,,,,,,
84,2,OFH-TD,CC,UC,,,,,,,,,
85,2,,,,,,,,,,,,
86,2,,,,,,,,,,,,
87,2,,,,,,,,,,,,
88,2,DPI-NPB,CC,FCBCLC,,,,D,,,,,
89,2,,,,,,,,,,,,
90,2,,,,,,,,,,,,
91,2,,,,,,,,,,,,
92,3,,,,,,,,,,,,
93,3,,,,,,,,,,,,
94,3,,,,,,,,,,,,
95,3,,,,,,,,,,,,
96,3,PF-UNR,NC,BN,,,,D,PV,,V: FOR MEGET BEVÆGELSE,,
97,3,,,,,,,,,,,,
98,3,,,,,,,,,,,,
99,3,OFH-GR,CC,UC,,,,,,,,,
100,3,,,,,,,,,,,,
101,3,,,,,,,,,,,,
102,3,,,,,,,,,,,,
103,3,,,,,,,,,,,,
104,3,,,,,,,,,,,,
105,3,,,,,,,,,,,,
106,3,,,,,,,,,,,,
107,3,,,,,,,,,,,,
108,3,,,,,,,,,,,,
109,3,,,,,,,,,,,,
110,3,,,,,,,,,,,,
111,3,,,,,,,,,,,,
112,3,,,,,,,,,,,,
113,3,,,,,,,,,,,,
114,3,,,,,,,,,,,,
115,3,,,,,,,,,,,,
116,3,DOF-WC,CC,LCUC,,,,,,,,,
117,3,,,,,,,,,,,,
118,3,,,,,,,,,,,,
119,3,,,,,,,,,,,,
120,3,DOG,CC,BC,,,,,,,,,
121,3,,,,,,,,,,FORWARD PASS/FUMBLE,,
122,3,,,,,,,,,,,,
123,4,,,,,,,,,,,,
124,4,IDP,CC,UC,,,,,,,,,
125,4,FST,CC,HC,,,,,,,,,
126,4,,,,,,,,,,,,
127,4,,,,,,,,,,,,
128,4,,,,,,,,P,,97 GOLDDIGGERS HÆNDER I HALS,,
129,4,,,,,,,,,,,,
130,4,FST,MC,LC,,,,,,,,,
131,4,,,,,,,,P,OH/TD,GOLDDIGGERS TE MOD R,,
