PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,RWD,P,UC/TAU,A9 FJERNESTE RECEIVER MOD CB EFTER BLOCK,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,OFH-GR,IC,RI,,,,RWD,P,,LG A54,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,1,PF-UNR,MC,UM,,,,RWD,P,,C O64 KALDT SOM DEAD-BALL EFTER SPILLET,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,OFH-TD,MC,HM,,,,RWD,P,,LG A55 (SE EZ),,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,RWD,P,PF-UNR,HVID44 MOD RUNNER UDE OVER SIDELINE,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,RWD,P,FST,A14 NÆRMESTE RECEIVER,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,KOB,CC,HC,,,,WD,P,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,KOB,CC,LC,,,,W,P,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,DOF-WC,CC,HCUM,,,,RW,P,B58,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,IBB,IC,UI,,,,RWD,P,,KALDT PÅ B36 EFTER INTERCEPTION,,,
79,2,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,
81,2,ILM,CC,LC,,,,W,P,,A1 NÆRMESTE RECEIVER,,,
82,2,,,,,,,,,,,,,
83,2,,,,,,,,,,,,,
84,2,,,,,,,,,,,,,
85,2,,,,,,,,,,,,,
86,2,,,,,,,,,,,,,
87,2,,,,,,,,,,,,,
88,2,,,,,,,,,,,,,
89,2,,,,,,,,,,,,,
90,2,DOG,NG,BG,,,,D,P,,,,,
91,2,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,,,,,,,,V,,EZ CAM SOVER,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,M,,GODE SIGNALER AF B,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,,,,
105,3,,,,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,FST,CC,HC,,,,,P,,NOT SET? INTET NR I PR,,,
108,3,,,,,,,,,,,,,
109,3,,,,,,,,,,,,,
110,3,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,
112,3,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,
114,3,,,,,,,,,,,,,
