PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,OH/GR 72 RØD,NO RESTRICTION BEFORE RUNNER IS TACKLED,,,
5,1,DOF,CC,LC,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,FST,CC,HC,,,,,,,RØD 4,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,
19,1,DOF,NG,BG,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,DOG,NG,BG,,,,,,,,,,
29,1,RNK,CC,RC,,,,,,,,,,
30,1,KOB,CC,HC,,,,,,,,,,
31,1,PF-BSB,CC,RC,,,,,,,RØD 2,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,2,,,,,,,,,,,,,
39,2,,,,,,,,,,,,,
40,2,UC-DBS,CC,RCLC,,,,,,,RØD 13 - IKKE MED I SPILLET,,,
41,2,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,OH-GR 84 RIGHT WIDE,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,OPI-BK,CC,sc,,,,,,,,,,
55,2,,,,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,PF-LHP,PÅ RUNNER EFTER HAN TRÆDER PÅ SIDENLINEN - I KAMPEN VURDERT OK DA RUNN,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,3,,,,,,,,,,,,,
68,3,,,,,,,,,,,,,
69,3,,,,,,,,,,,,,
70,3,,,,,,,,,,,,,
71,3,,,,,,,,,,,,,
72,3,,,,,,,,,,,,,
73,3,,,,,,,,,,,,,
74,3,,,,,,,,,,,,,
75,3,OFH-TD,NC,LN,,,,,,SHOULD BE 55,R AND L AGREED UPON 55 AND 4 SLIDES,,,
76,3,DOF-NZI,CC,LCHC,,,,,,,,,,
77,3,,,,,,,,,,,,,
78,3,,,,,,,,,,,,,
79,3,,,,,,,,,,,,,
80,3,,,,,,,M,,,COMPLETE / INCOMPLETE,,,
81,3,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,
93,3,UC-DBS,IC,HI,,,,,,,,,,
94,4,,,,,,,,,,,,,
95,4,,,,,,,,,,,,,
96,4,,,,,,,,,,,,,
97,4,OFH-GR,MC,UM,,,,,,,,,,
98,4,,,,,,,,,,,,,
99,4,,,,,,,,,,,,,
100,4,,,,,,,,,,RULED INCOMPLETE - NO CONTROL,,,
101,4,,,,,,,,,,,,,
102,4,,,,,,,,,,,,,
103,4,,,,,,,,,,,,,
104,4,,,,,,,,,,,,,
105,4,,,,,,,,,,,,,
106,4,,,,,,,,,,,,,
107,4,OFH-GR,CC,HC,,,,,,,,,,
108,4,,,,,,,,,,,,,
109,4,,,,,,,,,,,,,
110,4,,,,,,,,,,,,,
111,4,,,,,,,,,,,,,
112,4,UC-STB,CC,LCFC,,,,,,,,,,
113,4,,,,,,,,,,,,,
114,4,,,,,,,,,,,,,
115,4,,,,,,,,,,,,,
116,4,,,,,,,,M,,WAIT FOR H,,,
117,4,,,,,,,,,,,,,
118,4,,,,,,,,,,,,,
119,4,OFH-GR,MC,UM,,,,,,,PR WRONG,,,
120,4,,,,,,,,,,,,,
121,4,,,,,,,,,,,,,
122,4,,,,,,,,,,,,,
123,4,,,,,,,,,,,,,
