PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,1,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,1,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,
17,1,,,,,,,,,,,,,
18,1,,,,,,,,P,OH GR,RIGHT TE 83,,,
19,1,OFH-TD,CC,RC,,,,,,,,,,
20,1,,,,,,,,,,,,,
21,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,,
23,1,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,
25,1,,,,,,,,,,,,,
26,1,DOF-NZI,CC,LCHC,,,,,,,,,,
27,1,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,
29,1,PF-RTP,CC,RC,,,,,,,,,,
30,1,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,
41,2,,,,,,,,,,,,,
42,2,,,,,,,,,,,,,
43,2,,,,,,,,,,,,,
44,2,,,,,,,,,,,,,
45,2,,,,,,,,,,,,,
46,2,FST,CC,HC,,,,,,,,,,
47,2,,,,,,,,,,,,,
48,2,,,,,,,,,,,,,
49,2,,,,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,2,,,,,,,,,,,,,
52,2,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,
55,2,DOF,CC,HC,,,,,,,,,,
56,2,,,,,,,,,,,,,
57,2,,,,,,,,,,,,,
58,2,,,,,,,,,,,,,
59,2,,,,,,,,,,,,,
60,2,,,,,,,,,,,,,
61,2,,,,,,,,,,,,,
62,2,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,
65,2,,,,,,,,,,,,,
66,2,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,
79,2,DOF,CC,LC,,,,,,,,,,
80,2,,,,,,,,,,,,,
81,3,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,
84,3,,,,,,,W,M,,GOD FOKUS AF L EFTER INT. NEMLIG DON'T GAURD AIR,,,
85,3,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,
87,3,,,,,,,RD,M,,B KOM IND PÅ BANEN OG U RYK DIG UD,,,
88,3,,,,,,,,,,,,,
89,3,,,,,,,D,P,DPI,B40,,,
90,3,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,
92,3,,,,,,,RWD,P,PF-BSB,RT A56,,,
93,3,,,,,,,,,,,,,
94,3,,,,,,,,,,,,,
95,3,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,R,P,PF-BBW,SIDE BLOCK RB A35,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,4,,,,,,,,,,,,,
103,4,,,,,,,,,,,,,
104,4,,,,,,,,,,,,,
105,4,,,,,,,,,,,,,
106,4,,,,,,,,,,,,,
107,4,,,,,,,,,,,,,
108,4,FST,CC,LCRN,,,,RW,P,,,,,
109,4,,,,,,,,,,,,,
110,4,,,,,,,,,,,,,
111,4,,,,,,,,,,,,,
112,4,,,,,,,,B,,TOO MUCH W B?,,,
113,4,,,,,,,,,,,,,
114,4,,,,,,,,,,,,,
115,4,,,,,,,,,,,,,
116,4,,,,,,,,,,,,,
117,4,,,,,,,,,,,,,
118,4,,,,,,,,,,,,,
119,4,,,,,,,,,,,,,
