PLAY #,QTR,PENALTY-CAT 1,FLAG 1,GRADE OFFICIAL 1,PENALTY CAT 2,FLAG 2,GRADE OFFICIAL 2,GROUP,CATEGORY,POS. FOUL,VIEVERS NOTES,IFAF,SUP. NOTES,PENALTY
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,V,,SIKKE EN UDSIGT,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,1,OFH-GR,CC,UC,,,,,,,SORT 44,,,
29,1,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,1,FST,,HL,,,,,,,KALDT PÅ SORT 71,,,
39,1,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,P,OFH,SNAPPEREN,,,
42,,,,,,,,,,,,,,
43,1,OFH-GR,IC,RILI,,,,,,,HVID 56,,,
44,1,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,2,DOG,NG,BG,,,,,,,,,,
50,2,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,2,FST,CC,LC,,,,,,,WR TÆTTEST KAMERAET,,,
59,2,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,M,,S HUSK AT BLIV PÅ PYLON,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,KO,,,
67,,,,,,,,,,,,,,
68,2,DPI-PTO,NG,SG,,,,,,,,,,
69,2,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,2,FST,CC,UCLN,,,,,,,,,,
82,2,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,2,,,,,,,,,,,,,
96,3,,,,,,,,,,,,,
97,3,,,,,,,,,,,,,
98,3,,,,,,,,,,,,,
99,3,,,,,,,,,,,,,
100,3,,,,,,,,,,,,,
101,3,,,,,,,,,,,,,
102,3,,,,,,,,,,,,,
103,3,,,,,,,,,,,,,
104,3,,,,,,,,,,OFH-GR 70 SORT - T&S + TACKLE AT SAME TIME,,,
105,3,,,,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,3,,,,,,,,,,,,,
108,3,,,,,,,,,,,,,
109,3,,,,,,,,,,,,,
110,3,,,,,,,,,,,,,
111,3,,,,,,,,,,,,,
112,3,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,
114,3,DEH,WAIVED,HW,,,,,,,,,,
115,3,,,,,,,,,,,,,
116,3,,,,,,,,,,,,,
117,3,,,,,,,,,,,,,
118,3,,,,,,,,,,,,,
119,4,,,,,,,,,,L - STOP THE PLAY,,,
120,4,DOG,NG,BG,,,,,,,,,,
121,4,,,,,,,,,,,,,
122,4,,,,,,,,,,,,,
123,4,,,,,,,,,,,,,
124,4,,,,,,,,,,,,,
125,4,,,,,,,,,,,,,
126,4,,,,,,,,,,,,,
127,4,,,,,,,,,,,,,
128,4,,,,,,,,,,,,,
129,4,,,,,,,,,,,,,
130,4,,,,,,,,,,,,,
131,4,,,,,,,,,,,,,
132,4,,,,,,,,,,,,,
133,4,,,,,,,,,,,,,
134,4,,,,,,,,,,,,,
135,4,,,,,,,,,,,,,
136,4,,,,,,,,,,,,,
137,4,,,,,,,,,,,,,
138,4,,,,,,,,,,,,,
